sequence;type;annee;tour;departement;commune;numero_du_bureau;code_canton;code_circonscription;indicatif;nombre_dinscrits;nombre_dabstentions;nombre_de_votants;nombre_de_votants_dapres_les_feuilles_demargement;nombre_de_bulletins_blancs;nombre_de_bulletins_nuls;nombre_dexprimes;nombre_de_candidats;sigle_du_candidat1;nombre_de_voix_du_candidat1;sigle_du_candidat2;nombre_de_voix_du_candidat2;sigle_du_candidat3;nombre_de_voix_du_candidat3;sigle_du_candidat4;nombre_de_voix_du_candidat4;sigle_du_candidat5;nombre_de_voix_du_candidat5;sigle_du_candidat6;nombre_de_voix_du_candidat6;sigle_du_candidat7;nombre_de_voix_du_candidat7;sigle_du_candidat8;nombre_de_voix_du_candidat8;sigle_du_candidat9;nombre_de_voix_du_candidat9;sigle_du_candidat10;nombre_de_voix_du_candidat10;sigle_du_candidat11;nombre_de_voix_du_candidat11;sigle_du_candidat12;nombre_de_voix_du_candidat12
167;PR;2022;1;31;555;0162;16;01;I;1040;236;804;804;13;1;790;12;ARTH;2;ROUS;15;MACR;201;LASS;23;LEPE;67;ZEMM;42;MELE;332;HIDA;20;JADO;47;PECR;19;POUT;7;DUPO;15
172;PR;2022;1;31;555;0167;16;01;I;1175;243;932;932;11;5;916;12;ARTH;0;ROUS;18;MACR;250;LASS;28;LEPE;83;ZEMM;68;MELE;316;HIDA;28;JADO;70;PECR;38;POUT;4;DUPO;13
179;PR;2022;1;31;555;0174;16;01;I;889;212;677;677;8;4;665;12;ARTH;3;ROUS;20;MACR;152;LASS;20;LEPE;82;ZEMM;34;MELE;259;HIDA;8;JADO;53;PECR;18;POUT;5;DUPO;11
183;PR;2022;1;31;555;0178;16;01;I;701;192;509;509;8;3;498;12;ARTH;3;ROUS;9;MACR;126;LASS;13;LEPE;70;ZEMM;40;MELE;176;HIDA;9;JADO;24;PECR;17;POUT;4;DUPO;7
184;PR;2022;1;31;555;0179;22;01;I;967;219;748;748;7;4;737;12;ARTH;0;ROUS;9;MACR;183;LASS;29;LEPE;94;ZEMM;45;MELE;255;HIDA;30;JADO;54;PECR;21;POUT;7;DUPO;10
192;PR;2022;1;31;555;0186;22;01;I;1120;274;846;846;9;4;833;12;ARTH;5;ROUS;14;MACR;181;LASS;31;LEPE;122;ZEMM;60;MELE;311;HIDA;25;JADO;43;PECR;21;POUT;6;DUPO;14
193;PR;2022;1;31;555;0187;22;01;I;584;292;292;290;0;3;289;12;ARTH;0;ROUS;3;MACR;58;LASS;13;LEPE;50;ZEMM;21;MELE;115;HIDA;8;JADO;7;PECR;6;POUT;1;DUPO;7
194;PR;2022;1;31;555;0188;22;02;I;844;198;646;646;14;4;628;12;ARTH;3;ROUS;9;MACR;146;LASS;17;LEPE;89;ZEMM;42;MELE;250;HIDA;8;JADO;32;PECR;14;POUT;3;DUPO;15
198;PR;2022;1;31;555;0191;22;02;I;1067;279;788;788;11;2;775;12;ARTH;2;ROUS;17;MACR;172;LASS;25;LEPE;96;ZEMM;37;MELE;328;HIDA;15;JADO;43;PECR;24;POUT;6;DUPO;10
202;PR;2022;1;31;555;0194;22;02;I;1228;279;949;949;17;8;924;12;ARTH;4;ROUS;18;MACR;221;LASS;25;LEPE;120;ZEMM;73;MELE;324;HIDA;22;JADO;65;PECR;23;POUT;8;DUPO;21
203;PR;2022;1;31;555;0195;22;02;I;1117;246;871;871;20;6;845;12;ARTH;6;ROUS;20;MACR;197;LASS;23;LEPE;108;ZEMM;51;MELE;308;HIDA;31;JADO;58;PECR;29;POUT;6;DUPO;8
205;PR;2022;1;31;555;0197;22;02;I;1189;290;899;899;5;7;887;12;ARTH;4;ROUS;25;MACR;237;LASS;39;LEPE;115;ZEMM;54;MELE;289;HIDA;28;JADO;53;PECR;24;POUT;10;DUPO;9
206;PR;2022;1;31;555;0198;22;02;I;1092;245;847;847;7;6;834;12;ARTH;4;ROUS;17;MACR;204;LASS;20;LEPE;103;ZEMM;52;MELE;329;HIDA;18;JADO;49;PECR;20;POUT;11;DUPO;7
216;PR;2022;1;31;555;0207;23;02;I;937;254;683;684;8;3;672;12;ARTH;2;ROUS;13;MACR;183;LASS;27;LEPE;82;ZEMM;46;MELE;215;HIDA;16;JADO;45;PECR;31;POUT;4;DUPO;8
225;PR;2022;1;31;555;0216;23;02;I;1017;204;813;813;10;2;801;12;ARTH;6;ROUS;17;MACR;200;LASS;18;LEPE;80;ZEMM;43;MELE;316;HIDA;23;JADO;65;PECR;14;POUT;12;DUPO;7
228;PR;2022;1;31;555;0219;23;04;I;201;51;150;150;3;0;147;12;ARTH;0;ROUS;4;MACR;39;LASS;6;LEPE;19;ZEMM;13;MELE;49;HIDA;4;JADO;6;PECR;7;POUT;0;DUPO;0
230;PR;2022;1;31;555;0221;23;02;I;787;251;536;536;4;3;529;12;ARTH;0;ROUS;15;MACR;142;LASS;25;LEPE;71;ZEMM;36;MELE;168;HIDA;11;JADO;37;PECR;16;POUT;0;DUPO;8
231;PR;2022;1;31;555;0222;24;04;I;398;76;322;322;1;2;319;12;ARTH;0;ROUS;2;MACR;96;LASS;7;LEPE;27;ZEMM;11;MELE;100;HIDA;14;JADO;33;PECR;21;POUT;3;DUPO;5
236;PR;2022;1;31;555;0227;24;03;I;864;170;694;694;7;2;685;12;ARTH;0;ROUS;12;MACR;173;LASS;10;LEPE;48;ZEMM;35;MELE;293;HIDA;13;JADO;56;PECR;26;POUT;8;DUPO;11
244;PR;2022;1;31;555;0235;24;03;I;956;166;790;790;9;4;777;12;ARTH;2;ROUS;7;MACR;280;LASS;17;LEPE;83;ZEMM;72;MELE;188;HIDA;18;JADO;43;PECR;62;POUT;1;DUPO;4
248;PR;2022;1;31;555;0239;25;03;I;1663;326;1337;1337;18;5;1314;12;ARTH;4;ROUS;27;MACR;345;LASS;37;LEPE;139;ZEMM;105;MELE;434;HIDA;31;JADO;113;PECR;49;POUT;13;DUPO;17
249;PR;2022;1;31;555;0240;25;03;I;1308;323;985;985;14;6;965;12;ARTH;4;ROUS;22;MACR;246;LASS;43;LEPE;157;ZEMM;65;MELE;269;HIDA;26;JADO;68;PECR;40;POUT;8;DUPO;17
253;PR;2022;1;31;555;0244;25;03;I;1035;185;850;850;17;3;830;12;ARTH;4;ROUS;21;MACR;256;LASS;28;LEPE;93;ZEMM;59;MELE;194;HIDA;26;JADO;63;PECR;61;POUT;5;DUPO;20
255;PR;2022;1;31;555;0246;25;03;I;795;130;665;665;8;2;655;12;ARTH;3;ROUS;22;MACR;248;LASS;17;LEPE;77;ZEMM;51;MELE;134;HIDA;17;JADO;42;PECR;33;POUT;1;DUPO;10
256;PR;2022;1;31;555;0247;25;03;I;1007;198;809;808;6;5;798;12;ARTH;1;ROUS;9;MACR;301;LASS;30;LEPE;77;ZEMM;52;MELE;214;HIDA;9;JADO;57;PECR;35;POUT;6;DUPO;7
257;PR;2022;1;31;555;0248;25;03;I;954;220;734;735;13;3;718;12;ARTH;1;ROUS;20;MACR;216;LASS;20;LEPE;101;ZEMM;41;MELE;207;HIDA;9;JADO;48;PECR;33;POUT;5;DUPO;17
259;PR;2022;1;31;555;0250;25;03;I;886;172;714;714;11;3;700;12;ARTH;2;ROUS;13;MACR;185;LASS;20;LEPE;67;ZEMM;71;MELE;199;HIDA;25;JADO;52;PECR;51;POUT;5;DUPO;10
261;PR;2022;1;31;555;0252;25;03;I;955;192;763;763;6;2;755;12;ARTH;0;ROUS;10;MACR;196;LASS;26;LEPE;180;ZEMM;98;MELE;137;HIDA;15;JADO;42;PECR;44;POUT;4;DUPO;3
263;PR;2022;1;31;555;0254;25;03;I;1113;227;886;886;18;3;865;12;ARTH;1;ROUS;22;MACR;235;LASS;32;LEPE;78;ZEMM;49;MELE;297;HIDA;29;JADO;69;PECR;31;POUT;11;DUPO;11
265;PR;2022;1;31;555;0256;25;09;I;1093;256;837;837;8;2;827;12;ARTH;5;ROUS;15;MACR;262;LASS;13;LEPE;42;ZEMM;52;MELE;297;HIDA;24;JADO;72;PECR;29;POUT;10;DUPO;6
8;PR;2022;1;31;555;0007;17;01;I;837;159;678;678;9;3;666;12;ARTH;0;ROUS;6;MACR;241;LASS;14;LEPE;49;ZEMM;73;MELE;183;HIDA;13;JADO;43;PECR;36;POUT;6;DUPO;2
10;PR;2022;1;31;555;0009;17;01;I;1012;210;802;801;5;2;795;12;ARTH;0;ROUS;14;MACR;189;LASS;17;LEPE;43;ZEMM;40;MELE;379;HIDA;16;JADO;61;PECR;25;POUT;8;DUPO;3
12;PR;2022;1;31;555;0011;17;01;I;1016;175;841;841;7;3;831;12;ARTH;2;ROUS;15;MACR;280;LASS;15;LEPE;32;ZEMM;62;MELE;249;HIDA;31;JADO;78;PECR;52;POUT;6;DUPO;9
18;PR;2022;1;31;555;0017;17;01;I;1223;210;1013;1013;9;0;1004;12;ARTH;2;ROUS;17;MACR;309;LASS;18;LEPE;56;ZEMM;66;MELE;356;HIDA;21;JADO;94;PECR;57;POUT;3;DUPO;5
19;PR;2022;1;31;555;0018;17;01;I;723;135;588;588;6;2;580;12;ARTH;1;ROUS;1;MACR;171;LASS;18;LEPE;46;ZEMM;39;MELE;218;HIDA;12;JADO;35;PECR;33;POUT;1;DUPO;5
34;PR;2022;1;31;555;0033;18;04;I;904;183;721;721;16;4;701;12;ARTH;2;ROUS;10;MACR;246;LASS;17;LEPE;67;ZEMM;81;MELE;146;HIDA;19;JADO;47;PECR;58;POUT;4;DUPO;4
37;PR;2022;1;31;555;0036;18;04;I;920;151;769;769;8;7;754;12;ARTH;1;ROUS;13;MACR;250;LASS;22;LEPE;44;ZEMM;57;MELE;244;HIDA;20;JADO;60;PECR;32;POUT;4;DUPO;7
44;PR;2022;1;31;555;0043;18;04;I;930;181;749;749;7;4;738;12;ARTH;1;ROUS;4;MACR;245;LASS;16;LEPE;43;ZEMM;60;MELE;233;HIDA;26;JADO;55;PECR;42;POUT;3;DUPO;10
48;PR;2022;1;31;555;0047;18;04;I;996;188;808;808;7;5;796;12;ARTH;1;ROUS;14;MACR;250;LASS;31;LEPE;47;ZEMM;62;MELE;253;HIDA;12;JADO;67;PECR;47;POUT;3;DUPO;9
61;PR;2022;1;31;555;0060;18;03;I;1056;191;865;865;10;6;849;12;ARTH;0;ROUS;9;MACR;300;LASS;21;LEPE;53;ZEMM;67;MELE;249;HIDA;14;JADO;81;PECR;47;POUT;3;DUPO;5
69;PR;2022;1;31;555;0068;19;09;I;875;180;695;695;7;2;686;12;ARTH;2;ROUS;21;MACR;143;LASS;10;LEPE;70;ZEMM;28;MELE;282;HIDA;24;JADO;73;PECR;21;POUT;7;DUPO;5
